Title,Artist,year
Don't Leave Me This Way,The Communards,1986
A Matter of Trust,Billy Joel,1986
True Colours,Cyndi Lauper,1986
Hit That Perfect Beat,Bronski Beat,1986
You Can Call Me Al,Paul Simon,1986
How Will I Know,Whitney Houston,1986
Concrete and Clay,Martin Plaza,1986
Lady in Red,Chris de Burgh,1986
Kiss,Prince & the Revolution,1986
Locomotion,Kylie Minogue,1987
La Bamba,Los Lobos,1987
Old Time Rock and Roll,Bob Seger,1987
Slice of Heaven,Dave Dobbyn with Herbs,1987
Respectable,Mel and Kim,1987
You Keep Me Hangin' On,Kim Wilde,1987
Walk Like an Egyptian,The Bangles,1987
Electric Blue,Icehouse,1987
Boom Boom (Let's Go Back to My Room),Paul Lekakis,1987
The Final Countdown,Europe,1987
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987
Nothing's Gonna Stop Us Now,Starship,1987
Suddenly,Angry Anderson,1987
He's Gonna Step on You Again,The Party Boys,1987
I Wanna Wake Up With You,Boris Gardiner,1987
Pressure Down,John Farnham,1987
Livin' on a Prayer,Bon Jovi,1987
Crazy,Icehouse,1987
Funkytown,Pseudo Echo,1987
I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1987
Beds Are Burning,Midnight Oil,1987
Bad,Michael Jackson,1987
Good Times,INXS With Jimmy Barnes,1987
Star Trekkin',The Firm,1987
What's My Scene,Hoodoo Gurus,1987
